Installed Packages
libgcrypt.riscv64                  1.10.0-1.an8         @koji-an8f36-build-12516
libgomp.riscv64                    12.0.1-0.8.1.an8     @koji-an8f36-build-12516
libgpg-error.riscv64               1.44-1.an8           @koji-an8f36-build-12516
libibverbs.riscv64                 39.0-1.1.an8         @koji-an8f36-build-12516
libidn2.riscv64                    2.3.2-4.1.an8        @koji-an8f36-build-12516
libini_config.riscv64              1.3.1-50.an8         @koji-an8f36-build-12516
libkcapi.riscv64                   1.3.1-4.an8          @koji-an8f36-build-12516
libkcapi-hmaccalc.riscv64          1.3.1-4.an8          @koji-an8f36-build-12516
libksba.riscv64                    1.6.0-3.an8          @koji-an8f36-build-12516
libldb.riscv64                     2.5.0-1.an8          @koji-an8f36-build-12516
libmaxminddb.riscv64               1.6.0-1.an8          @koji-an8f36-build-12516
libmnl.riscv64                     1.0.4-15.an8         @koji-an8f36-build-12516
libmodulemd.riscv64                2.14.0-2.an8         @koji-an8f36-build-12516
libmount.riscv64                   2.38-0.3.an8         @koji-an8f36-build-12516
libndp.riscv64                     1.8-3.an8            @koji-an8f36-build-12516
libnetfilter_conntrack.riscv64     1.0.8-4.an8          @koji-an8f36-build-12516
libnfnetlink.riscv64               1.0.1-21.an8         @koji-an8f36-build-12516
libnftnl.riscv64                   1.2.1-2.an8          @koji-an8f36-build-12516
libnghttp2.riscv64                 1.46.0-2.an8         @koji-an8f36-build-12516
libnl3.riscv64                     3.5.0-9.an8          @koji-an8f36-build-12516
libnsl2.riscv64                    1.3.0-4.an8          @koji-an8f36-build-12516
libpath_utils.riscv64              0.2.1-50.an8         @koji-an8f36-build-12516
libpcap.riscv64                    14:1.10.1-3.an8      @koji-an8f36-build-12516
libpeas.riscv64                    1.30.0-6.an8         @koji-an8f36-build-12516
libpipeline.riscv64                1.5.5-2.an8          @koji-an8f36-build-12516
libpsl.riscv64                     0.21.1-5.an8         @koji-an8f36-build-12516
libpwquality.riscv64               1.4.4-7.an8          @koji-an8f36-build-12516
libref_array.riscv64               0.1.5-50.an8         @koji-an8f36-build-12516
librepo.riscv64                    1.14.2-2.an8         @koji-an8f36-build-12516
libreport-filesystem.noarch        2.16.0-3.an8         @koji-an8f36-build-12516
librhsm.riscv64                    0.0.3-7.an8          @koji-an8f36-build-12516
libseccomp.riscv64                 2.5.3-2.an8          @koji-an8f36-build-12516
libsecret.riscv64                  0.20.4-4.an8         @koji-an8f36-build-12516
libselinux.riscv64                 3.3-4.an8            @koji-an8f36-build-12516
libselinux-utils.riscv64           3.3-4.an8            @koji-an8f36-build-12516
libsemanage.riscv64                3.3-3.an8            @koji-an8f36-build-12516
libsepol.riscv64                   3.3-3.an8            @koji-an8f36-build-12516
libsigsegv.riscv64                 2.14-2.an8           @koji-an8f36-build-12516
libsmartcols.riscv64               2.38-0.3.an8         @koji-an8f36-build-12516
libsolv.riscv64                    0.7.20-3.an8         @koji-an8f36-build-12516
libss.riscv64                      1.46.5-2.an8         @koji-an8f36-build-12516
libssh.riscv64                     0.9.6-4.an8          @koji-an8f36-build-12516
libssh-config.noarch               0.9.6-4.an8          @koji-an8f36-build-12516
libsss_certmap.riscv64             2.6.3-1.an8          @koji-an8f36-build-12516
libsss_idmap.riscv64               2.6.3-1.an8          @koji-an8f36-build-12516
libsss_nss_idmap.riscv64           2.6.3-1.an8          @koji-an8f36-build-12516
libsss_sudo.riscv64                2.6.3-1.an8          @koji-an8f36-build-12516
libstdc++.riscv64                  12.0.1-0.8.1.an8     @koji-an8f36-build-12516
libtalloc.riscv64                  2.3.3-3.an8          @koji-an8f36-build-12516
libtasn1.riscv64                   4.18.0-2.1.an8       @koji-an8f36-build-12516
libtdb.riscv64                     1.4.6-1.an8          @koji-an8f36-build-12516
libtevent.riscv64                  0.11.0-2.an8         @koji-an8f36-build-12516
libtirpc.riscv64                   1.3.2-1.rc1.an8.1    @koji-an8f36-build-12516
libunistring.riscv64               1.0-1.an8            @koji-an8f36-build-12516
libusb1.riscv64                    1.0.25-1.an8         @koji-an8f36-build-12516
libuser.riscv64                    0.63-8.an8           @koji-an8f36-build-12516
libutempter.riscv64                1.2.1-6.an8          @koji-an8f36-build-12516
libuuid.riscv64                    2.38-0.3.an8         @koji-an8f36-build-12516
libverto.riscv64                   0.3.2-3.an8          @koji-an8f36-build-12516
libxcrypt.riscv64                  4.4.28-1.an8         @koji-an8f36-build-12516
libxml2.riscv64                    2.9.12-7.an8         @koji-an8f36-build-12516
libyaml.riscv64                    0.2.5-7.an8          @koji-an8f36-build-12516
libzstd.riscv64                    1.5.2-1.an8          @koji-an8f36-build-12516
linux-firmware.noarch              20220209-129.an8     @koji-an8f36-build-12516
linux-firmware-whence.noarch       20220209-129.an8     @koji-an8f36-build-12516
lua-libs.riscv64                   5.4.4-1.an8          @koji-an8f36-build-12516
lz4-libs.riscv64                   1.9.3-4.an8          @koji-an8f36-build-12516
man-db.riscv64                     2.10.0-3.an8         @koji-an8f36-build-12516
memstrack.riscv64                  0.2.4-2.an8          @koji-an8f36-build-12516
microdnf.riscv64                   3.8.0-3.an8          @koji-an8f36-build-12516
mozjs78.riscv64                    78.15.0-2.1.an8      @koji-an8f36-build-12516
mpdecimal.riscv64                  2.5.1-3.an8          @koji-an8f36-build-12516
mpfr.riscv64                       4.1.0-9.an8          @koji-an8f36-build-12516
nano.riscv64                       6.0-2.an8            @koji-an8f36-build-12516
ncurses.riscv64                    6.2-9.20210508.an8   @koji-an8f36-build-12516
ncurses-base.noarch                6.2-9.20210508.an8   @koji-an8f36-build-12516
